episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
49,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.653,227.6,0.117,0.256,0.270,0.357
50,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.317,233.0,0.144,0.297,0.243,0.316
51,Hybrid,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.864,215.9,0.134,0.263,0.293,0.309
52,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.023,249.0,0.091,0.320,0.256,0.333
53,Ranged,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-2.997,245.0,0.101,0.299,0.250,0.350
54,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.497,252.1,0.127,0.337,0.217,0.319
55,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.922,263.4,0.081,0.286,0.207,0.426
56,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.332,234.8,0.107,0.300,0.277,0.317
57,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.834,276.2,0.083,0.327,0.180,0.410
58,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.699,258.5,0.120,0.297,0.187,0.397
59,CC,CC,BossWin,26.0,1.000,0,0,0,0,0,-0.584,225.9,0.088,0.331,0.227,0.354
60,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.656,265.3,0.086,0.307,0.203,0.404
61,Hybrid,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.964,247.9,0.109,0.310,0.237,0.344
62,Melee,CC,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.310,227.3,0.107,0.260,0.283,0.350
63,Hybrid,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.105,249.3,0.102,0.307,0.238,0.353
64,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.151,251.1,0.110,0.297,0.220,0.373
65,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.736,261.8,0.105,0.318,0.200,0.377
66,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.044,256.2,0.117,0.303,0.200,0.380
67,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.613,278.4,0.082,0.340,0.180,0.398
68,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.902,254.3,0.100,0.320,0.230,0.350
69,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.864,258.8,0.075,0.307,0.235,0.383
70,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.927,267.6,0.075,0.336,0.220,0.368
71,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.729,266.6,0.098,0.337,0.200,0.365
72,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.749,270.6,0.077,0.317,0.200,0.407
73,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.921,256.2,0.095,0.303,0.222,0.380
74,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.590,283.2,0.098,0.335,0.147,0.420
75,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.036,295.8,0.080,0.363,0.137,0.420
76,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.689,275.3,0.055,0.339,0.217,0.390
77,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.397,282.0,0.085,0.350,0.170,0.395
78,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.204,291.9,0.088,0.345,0.133,0.433
79,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.585,286.1,0.088,0.372,0.163,0.377
80,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.507,291.6,0.045,0.382,0.193,0.380
81,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.090,298.4,0.047,0.343,0.153,0.457
82,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.085,287.6,0.061,0.333,0.169,0.437
83,Ranged,Ranged,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-1.987,303.6,0.051,0.367,0.142,0.440
84,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.711,267.2,0.088,0.302,0.193,0.417
85,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.465,289.4,0.081,0.350,0.150,0.419
86,CC,CC,BossWin,9.5,1.000,0,0,0,0,0,0.874,94.5,0.047,0.414,0.180,0.359
87,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.128,305.9,0.056,0.374,0.133,0.437
88,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.387,274.6,0.103,0.290,0.150,0.457
89,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.469,269.1,0.103,0.290,0.167,0.440
90,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.487,270.8,0.086,0.324,0.193,0.397
91,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.026,304.5,0.053,0.364,0.137,0.447
92,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.878,302.4,0.056,0.354,0.137,0.453
93,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.196,279.8,0.079,0.311,0.167,0.443
94,Melee,Hybrid,BossWin,19.6,1.000,0,0,0,0,0,0.484,197.0,0.070,0.389,0.138,0.404
95,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.890,307.8,0.070,0.367,0.110,0.453
96,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.206,306.8,0.063,0.390,0.130,0.417
97,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.653,307.8,0.060,0.367,0.120,0.453
98,Ranged,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.022,293.9,0.070,0.333,0.140,0.457
99,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.985,295.8,0.087,0.340,0.120,0.453
100,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.856,311.9,0.057,0.373,0.113,0.457
101,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.777,303.6,0.063,0.390,0.140,0.407
102,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.139,300.9,0.067,0.347,0.127,0.460
103,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.731,315.2,0.050,0.367,0.107,0.477
104,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-0.733,319.4,0.053,0.390,0.100,0.457
105,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.176,298.2,0.063,0.397,0.160,0.380
106,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.094,298.2,0.067,0.350,0.137,0.447
107,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-1.077,308.7,0.073,0.373,0.107,0.447
